Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	HIFtarg	DPM_1A2A	speckleChangingPT2399	SigI	Normal	SigII	pIvsN	pIIvsN	pIvsII	SONdmso1	SONdmso2	SONpt2399-1	SONpt2399-2	RTTA_DPMfc	RTTA_DPMpadj	DPMup	RTTA_1A2A	RTTA_1A2Apadj	1A2Aup
ITGA7	20.3216605166265	-0.504439768342671	0.531412744566085	-0.949242887944965	0.342497093311877	0.777918132942764	No	ns	Yes	8.089	4.13975	8.1355	8.47709426171e-09	9.86356515459e-08	0.907739681777	677.247	664.901	533.434	594.83	-0.299466120093	0.61088331872	No	-0.803905888436	0.174333039856	No
UFSP2	119.822144181038	-1.04945167916151	0.465570215036439	-2.25412117284903	0.0241885460262009	0.408633511747227	No	dpm	No	8.341	14.2233	13.27355	1.88977890597e-25	0.0199718513811	2.66210605237e-22	1.00102	1.00102	1.00102	7.45205	0.855971650295	0.102119127374	No	-0.193480028867	0.712820895307	No
FAM212B	67.1347752750957	-0.0792790342019985	0.402527316738273	-0.196953177847422	0.843864178685728	0.968875271957786	No	ns	No	1.8915	1.80125	2.2703	0.686155357361	0.013037863383	0.0160772306516	279.841	248.254	252.48	292.521	-0.827568778786	0.0639493247976	No	-0.906847812988	0.0414289034106	No
CHST7	64.3899605703519	-0.347788239381245	0.285717292909001	-1.217246026099	0.223510623189875	0.693509908768009	No	ns	Yes	3.0764	1.87065	2.48465	2.83900684504e-06	0.00238993122997	0.0297833054065	359.923	258.153	262.935	249.477	-0.169590963155	0.596865510821	No	-0.517379202536	0.106635021639	No
ITGAV	2031.53425829285	0.320314786539122	0.416621118364792	0.768839534098354	0.441988576374159	0.83424247707439	No	ns	No	27.8747	49.7652	53.94175	1.48511179507e-20	0.0753599094254	1.20309647692e-15	1.00102	1.00102	1.00102	1.00102	-0.447134774396	0.337236904705	No	-0.126819987856	0.785398408822	No
ITGAM	22.863288314437	-1.73895336155303	1.02919711762347	-1.6896212900095	0.0911004302005253	0.551733738870548	No	ns	Yes	3.8095	0.9968	4.29245	0.0146311582308	1.00586855529e-16	0.730216933846	572.696	589.491	511.189	598.389	0.251624638008	0.824817158889	No	-1.48732872354	0.197044438412	No
ITGAE	257.38649563791	-0.0764605175420215	0.208376402219427	-0.366934627566446	0.713667781247075	0.934443849877851	No	ns	Yes	2.1884	1.4242	1.29165	4.15402526668e-09	0.0949716478013	3.59025445282e-15	1085.44	773.568	756.106	933.398	0.107883281777	0.648001806061	No	0.0314227642346	0.893817814865	No
IGF2R	2166.6660907904	0.146428681631856	0.251072085316998	0.583213707119127	0.559749444868095	0.883736412444521	No	ns	No	7.6588	13.99445	14.92425	1.88917762207e-26	0.0126503514764	3.64255480683e-34	30.3643	1.00102	99.7686	58.9491	-0.407558992416	0.146728656466	No	-0.261130310784	0.352159075747	No
SLC36A4	81.6217948449558	-0.178040240325175	0.404333216538533	-0.440330482490072	0.65969776625217	0.918176487140366	No	ns	No	1.6245	2.10935	2.22555	1.15522649023e-09	0.0912650297211	1.7684240444e-13	1.00102	1.00102	1.00102	1.00102	0.200924183236	0.66036491945	No	0.0228839429111	0.960014196305	No
CKS1B	533.62042437164	-0.188447643102266	0.204257586157482	-0.922598012868773	0.356216731624021	0.786172899378206	No	ns	Yes	5.4671	3.4233	4.683	5.99500067129e-08	1.79793340064e-06	7.23162308377e-05	1545.58	1492.75	1429.02	1467.94	0.103766715276	0.651577035865	No	-0.0846809278268	0.712173225518	No
SLC36A1	490.686454712919	0.428434514637897	0.267683129414295	1.60052863837678	0.10948135896704	0.579072267050471	No	ns	No	3.2252	2.34695	4.14245	1.71450910383e-06	1.6365785085e-08	0.0145362827979	7.45205	27.8062	54.8338	43.3776	-0.0739923408363	0.805976114791	No	0.354442173802	0.237602635518	No
ARTN	44.8232749645739	-1.09972311851727	0.72617700949964	-1.51440090243977	0.129924190535411	0.602860549453578	Yes	ns	Yes	0.3151	0.3831	0.16215	0.0461976500924	0.000581732877967	0.00145814715032	1490.3	1331.47	1017.37	1229.48	1.46309755506	0.0794107440892	No	0.363374436548	0.665289093065	No
CADPS2	619.574933630333	-0.658183439051604	0.393332401898138	-1.67335168899219	0.0942580824509318	0.556811576307001	No	ns	No	4.8566	18.85995	7.61725	1.68720285049e-67	8.81471246679e-33	1.33056712229e-13	1.00102	1.00102	1.00102	1.00102	0.278229333731	0.527269532321	No	-0.37995410532	0.388206184107	No
RLF	439.562054820229	0.637406271923055	0.3170044289206	2.01071724484552	0.0443553314722479	0.483794051438488	No	1a2a	No	5.0758	3.897	7.84435	1.34440410982e-07	3.36971705669e-24	1.62517032419e-20	367.709	310.428	324.109	450.126	0.0275180537217	0.938557784616	No	0.664924325645	0.0615428739047	No
CRTAP	1543.68950500813	0.0213120878385633	0.105315020213886	0.202365130778879	0.839631286040309	0.968165603732662	No	ns	No	35.8685	30.40275	35.61145	1.13417710899e-05	0.000260341021515	0.0232744238671	116.23	7.56328	114.561	99.6573	-0.0574547419254	0.628446189965	No	-0.0361426540868	0.75995255305	No
ADPGK	1033.75353035001	0.0748738635947267	0.121625612051048	0.615609346847942	0.538152380885458	0.874099318997274	Yes	ns	No	12.4656	6.29565	10.84175	1.11954956623e-34	3.28804867251e-29	2.32921160804e-05	224.896	215.22	173.399	171.842	0.268333581273	0.0524555658929	No	0.343207444868	0.012715756611	Yes
CPEB4	444.830738429971	0.221675368414272	0.368050018141902	0.602296855012801	0.546976553925648	0.878358117982999	No	ns	No	5.8087	18.62695	10.7279	3.6229253228e-39	9.37710020416e-05	2.66320844781e-13	37.4827	71.8512	99.1012	97.2104	-0.508856894285	0.216626142343	No	-0.287181525871	0.484895931995	No
CPEB3	29.0826634350392	0.147069214966617	0.44468017837871	0.330730313869233	0.740848202510682	0.944345405622371	No	ns	No	1.0189	3.5553	1.64805	1.47088956342e-60	2.1633734834e-14	1.45172037683e-12	142.701	122.125	139.031	240.245	-0.684883879382	0.167627633558	No	-0.537814664415	0.270818947018	No
CPEB2	168.862259748345	0.366982719085494	0.418946263049414	0.875966087904235	0.381048469814171	0.799705203623795	No	ns	No	12.3891	7.97755	14.3676	3.38933777155e-09	2.97342090121e-12	0.00658326005782	1.00102	1.00102	1.00102	1.00102	-1.07974630481	0.0208929489712	No	-0.712763585722	0.125429666861	No
SRBD1	499.872520551678	0.165282651412053	0.187797287170478	0.88011202878566	0.378798623421302	0.798192511503167	No	ns	No	3.6954	4.68235	4.9047	5.36434483499e-12	6.56474985618e-05	5.26505827637e-24	44.1562	69.8491	23.246	124.905	0.0101645260087	0.961801669954	No	0.175447177421	0.406215274075	No
ABAT	2056.76772157746	-0.283244769657001	0.413995371490858	-0.684173759327297	0.493865450105681	0.857246003807511	No	ns	No	1.6854	13.60475	1.92495	1.53921471596e-22	1.23017828036e-18	0.980471586836	310.762	131.69	122.458	83.7522	-0.286763704053	0.535565327812	No	-0.57000847371	0.218134940981	No
UPK2	102.678269832178	-1.21035064517696	0.474074978170933	-2.55307852324692	0.0106775421001669	0.33658589816022	No	dpm	No	0.2465	0.0467	0.1178	0.880439289951	0.813761086056	0.592100691678	787.916	797.481	757.551	722.738	0.880969039108	0.0984016456009	No	-0.329381606069	0.539061802201	No
ANKFY1	1308.1907262584	0.295337235154903	0.170955033457023	1.72757262060464	0.0840648750232355	0.541595147946971	No	ns	No	2.9207	6.03715	5.4945	8.46640604394e-59	0.00884855842632	9.57695251057e-58	835.075	643.101	647.661	724.851	-0.0754907070835	0.694396494619	No	0.219846528071	0.251174076779	No
AAAS	911.137329257421	-0.0402819657069938	0.206055145686737	-0.195491190344909	0.84500843372214	0.968875271957786	No	ns	Yes	10.8943	6.78825	7.19085	8.76868410213e-22	0.225167241176	6.9603600307e-27	1141.5	1021.15	888.463	1097.12	-0.0207563891979	0.928463013328	No	-0.0610383549049	0.791500070606	No
SIDT1	749.308262272034	0.65153257333226	0.246644814709953	2.64158228543521	0.00825197593892942	0.32091449241931	No	1a2a	No	0.4503	0.60535	0.4997	0.00128984618836	0.256479930223	0.0391367783023	1.00102	1.00102	1.00102	1.00102	-0.712586566672	0.00989763927761	No	-0.0610539933395	0.824377279434	No
SIDT2	426.321110716763	-0.29293759422331	0.257983688790801	-1.13548881945344	0.256170563832299	0.712985285662563	No	ns	No	7.6825	5.4182	6.9047	5.82076145764e-16	1.40558878047e-10	0.000179998084735	575.032	481.047	467.255	462.139	-0.144799788522	0.616185593693	No	-0.437737382745	0.129561108013	No
AAGAB	1495.73994778785	-0.0190267834299865	0.14086888495595	-0.135067324739144	0.892558644479263	0.980556977987342	No	ns	No	7.4838	14.5751	7.3755	8.13322148482e-32	1.50113444602e-17	0.275201309088	166.503	114.339	104.329	89.6471	-0.107809737787	0.495375058227	No	-0.126836521217	0.421591718092	No
C4orf19	188.999659255848	-0.223905247416876	0.601672504710182	-0.372138074557234	0.709790049409738	0.93363701795651	No	ns	No	2.6996	4.59655	2.9499	1.77007267669e-10	0.00059690473093	0.0343503799449	1.00102	1.00102	1.00102	1.00102	0.374921444142	0.578440793247	No	0.151016196725	0.822852986028	No
SLC7A6OS	230.448554742038	0.0020021556764333	0.156210210259906	0.012817060249148	0.989773745502883	0.998673090006083	No	ns	No	0.7297	0.8045	0.9053	0.10312574815	7.48351876481e-05	3.80198212626e-09	889.575	782.021	795.702	801.152	0.0508807869775	0.776582471091	No	0.052882942654	0.76597564248	No
ABCE1	1967.61298894708	-0.191447737422308	0.159189927809792	-1.20263725259716	0.229116725264289	0.698595754230714	Yes	ns	No	7.4172	7.66185	9.192	0.682317172513	4.92446238684e-07	1.83643032438e-11	1.00102	1.00102	1.00102	1.00102	0.552100426163	0.00204884594488	Yes	0.360652688741	0.0439086413928	Yes
ZNF117	300.408859415892	0.566298121965195	0.358948212995686	1.57765967753126	0.114643814426419	0.587525134613523	No	ns	No	1.5005	1.0295	1.49835	1.2858281581e-05	2.3676171786e-06	0.39085568157	2.33572	10.9	1.00102	18.0184	-0.473288878012	0.239987332772	No	0.0930092439528	0.816568343608	No
PRKAR2A	1083.77680450448	0.0456127728149625	0.131054729676768	0.34804369844157	0.727807366008353	0.938697325700517	No	ns	No	5.8893	14.5363	9.11045	2.34539875102e-68	1.77430115916e-29	1.20762751251e-27	703.941	733.304	632.424	804.599	0.123296067758	0.404998461507	No	0.168908840573	0.252392729978	No
PRKAR2B	405.245860196096	0.0908979112605677	0.436558165485158	0.208214891959587	0.835061181299578	0.967283047625485	No	ns	No	1.3616	6.7441	1.50455	3.54758650742e-45	1.99687008324e-32	0.00156754501959	1.00102	1.00102	2.66939	2.55817	-0.0960569964402	0.844269958102	No	-0.00515908517966	0.9915741956	No
